,feature01,feature04,feature07,feature08,feature09,feature10,feature14,feature17,feature22,feature23,feature11,feature12,feature13,feature15,feature16,feature10.1,feature21,target
2729,2.0,864.0,894.0,5.0,5.0,1974.0,1.0,3.0,0.0,1974.0,NA,dog,red,okay,bad,1,0.0,142500.0
1238,1.0,1248.0,1440.0,5.0,7.0,1959.0,0.0,2.0,0.0,1998.0,NA,NA,red,NA,good,0,0.0,185000.0
384,2.0,832.0,1935.0,8.0,5.0,2009.0,0.0,3.0,1103.0,2009.0,NA,NA,red,NA,bad,0,1.0,263435.0
2325,2.0,935.0,1632.0,7.0,5.0,1998.0,1.0,3.0,677.0,1998.0,NA,NA,red,bad,bad,0,1.0,176500.0
1422,2.0,672.0,2037.0,7.0,5.0,1996.0,1.0,3.0,735.0,1996.0,NA,NA,red,bad,good,0,1.0,229000.0
1139,2.0,754.0,1609.0,6.0,5.0,1995.0,0.0,3.0,855.0,1995.0,NA,NA,red,NA,good,0,1.0,182000.0
2676,1.0,896.0,1344.0,5.0,4.0,1936.0,0.0,3.0,448.0,1950.0,NA,NA,blue,NA,bad,1,0.0,115000.0
61,2.0,1720.0,1720.0,7.0,5.0,1996.0,1.0,3.0,0.0,1996.0,NA,NA,red,bad,good,0,0.0,260400.0
2887,2.0,1491.0,1491.0,8.0,5.0,2001.0,0.0,3.0,0.0,2001.0,NA,NA,red,NA,good,0,0.0,209000.0
2691,1.0,396.0,1330.0,5.0,8.0,1910.0,0.0,3.0,665.0,2004.0,NA,dog,red,NA,bad,1,0.0,116500.0
58,2.0,884.0,2035.0,7.0,5.0,2001.0,1.0,3.0,1151.0,2001.0,NA,NA,red,good,good,0,1.0,222500.0
848,2.0,944.0,1840.0,7.0,5.0,2001.0,0.0,3.0,896.0,2001.0,NA,NA,red,NA,good,0,1.0,230000.0
414,2.0,804.0,1548.0,6.0,5.0,1978.0,1.0,3.0,744.0,1978.0,NA,NA,red,bad,bad,0,1.0,147000.0
2678,1.0,768.0,1015.0,5.0,7.0,1925.0,0.0,3.0,0.0,1950.0,NA,dog,red,NA,bad,1,0.0,88000.0
1769,3.0,1379.0,2398.0,7.0,5.0,1996.0,1.0,3.0,1015.0,1997.0,NA,NA,red,bad,good,0,1.0,315750.0
1309,1.0,624.0,1450.0,7.0,8.0,1920.0,0.0,3.0,720.0,1965.0,NA,dog,red,NA,bad,1,0.0,132000.0
868,2.0,944.0,1870.0,7.0,5.0,2001.0,0.0,3.0,926.0,2001.0,NA,NA,red,NA,good,0,1.0,211000.0
2268,2.0,868.0,1146.0,7.0,5.0,2003.0,1.0,3.0,0.0,2003.0,NA,NA,red,good,good,0,0.0,187500.0
1378,2.0,1008.0,1096.0,6.0,5.0,1978.0,1.0,3.0,0.0,1978.0,NA,NA,red,okay,bad,1,0.0,157500.0
1280,2.0,780.0,1796.0,6.0,5.0,1963.0,1.0,4.0,813.0,1963.0,NA,NA,red,bad,bad,1,1.0,140000.0
2312,2.0,781.0,1671.0,6.0,5.0,1995.0,1.0,3.0,890.0,1995.0,NA,NA,red,bad,bad,0,1.0,170000.0
1919,1.0,1056.0,1056.0,5.0,6.0,1958.0,0.0,3.0,0.0,1992.0,NA,NA,red,NA,bad,1,0.0,139000.0
1906,1.0,1078.0,1150.0,5.0,6.0,1955.0,0.0,2.0,0.0,1955.0,NA,dog,red,NA,bad,1,0.0,144000.0
1823,1.0,1140.0,1696.0,5.0,5.0,1962.0,1.0,3.0,0.0,1962.0,NA,NA,red,bad,bad,1,1.0,143900.0
1540,2.0,1898.0,1898.0,5.0,5.0,1956.0,2.0,3.0,0.0,1956.0,NA,dog,blue,bad,bad,0,1.0,236500.0
2668,2.0,960.0,960.0,5.0,5.0,1958.0,0.0,3.0,0.0,1958.0,Grvl,NA,red,NA,bad,1,0.0,125000.0
1964,1.0,1170.0,1170.0,5.0,6.0,1958.0,1.0,3.0,0.0,1958.0,NA,NA,red,bad,bad,1,0.0,140000.0
1729,2.0,783.0,1484.0,6.0,5.0,2005.0,1.0,3.0,701.0,2007.0,NA,NA,red,good,good,0,1.0,178900.0
55,2.0,860.0,1960.0,6.0,5.0,2002.0,2.0,4.0,1100.0,2002.0,NA,NA,red,bad,good,0,1.0,216500.0
2725,2.0,1865.0,1830.0,7.0,6.0,1967.0,2.0,2.0,0.0,1967.0,NA,NA,red,good,bad,1,0.0,278000.0
2232,2.0,720.0,1215.0,6.0,7.0,1940.0,0.0,3.0,495.0,1950.0,NA,dog,blue,NA,good,1,0.0,141000.0
1806,0.0,1100.0,1100.0,6.0,5.0,2006.0,0.0,3.0,0.0,2007.0,NA,NA,red,NA,bad,1,1.0,146000.0
550,2.0,676.0,1400.0,6.0,7.0,1986.0,0.0,3.0,702.0,1986.0,NA,NA,red,NA,bad,0,1.0,162000.0
547,1.0,626.0,1217.0,6.0,6.0,1980.0,1.0,3.0,591.0,1980.0,NA,NA,red,bad,bad,1,1.0,120000.0
2852,0.0,1008.0,1522.0,5.0,5.0,1926.0,0.0,4.0,0.0,1950.0,NA,NA,red,NA,bad,0,0.0,102000.0
2107,2.0,1208.0,1208.0,7.0,5.0,2007.0,0.0,2.0,0.0,2007.0,NA,NA,red,NA,good,0,0.0,195400.0
2026,2.0,672.0,1344.0,7.0,6.0,1929.0,1.0,3.0,672.0,1990.0,NA,cat,blue,good,good,1,1.0,140000.0
393,2.0,1002.0,1002.0,5.0,6.0,1970.0,0.0,3.0,0.0,1970.0,NA,dog,red,NA,bad,1,0.0,148500.0
196,1.0,835.0,1453.0,5.0,6.0,1942.0,2.0,3.0,498.0,1950.0,NA,NA,blue,okay,good,1,1.0,132000.0
2529,2.0,1334.0,1334.0,7.0,6.0,1967.0,0.0,3.0,0.0,1967.0,NA,NA,red,NA,bad,0,0.0,164500.0
487,2.0,982.0,1800.0,6.0,5.0,2000.0,1.0,3.0,793.0,2000.0,NA,NA,red,bad,bad,0,1.0,179000.0
2593,2.0,784.0,1312.0,6.0,6.0,1947.0,0.0,3.0,412.0,1950.0,NA,NA,blue,NA,bad,1,1.0,127000.0
1724,2.0,1869.0,1869.0,9.0,5.0,2007.0,1.0,2.0,0.0,2007.0,NA,NA,red,good,amazing,0,0.0,318061.0
2287,0.0,546.0,1092.0,4.0,6.0,1970.0,0.0,3.0,546.0,1970.0,NA,NA,red,NA,bad,1,1.0,93900.0
1150,1.0,912.0,912.0,5.0,6.0,1962.0,0.0,2.0,0.0,1962.0,NA,NA,red,NA,bad,1,0.0,144000.0
31,1.0,525.0,1092.0,6.0,5.0,1971.0,0.0,3.0,567.0,1971.0,NA,NA,red,NA,bad,1,1.0,88000.0
883,2.0,608.0,1396.0,6.0,5.0,2007.0,1.0,3.0,788.0,2007.0,NA,NA,red,good,good,0,1.0,170000.0
137,2.0,1517.0,1888.0,6.0,6.0,1966.0,1.0,2.0,0.0,2002.0,NA,NA,red,good,good,0,1.0,190000.0
2891,2.0,1210.0,2519.0,7.0,5.0,1989.0,2.0,4.0,1281.0,1990.0,NA,NA,red,good,good,0,1.0,335000.0
357,2.0,680.0,1470.0,6.0,8.0,1993.0,1.0,3.0,790.0,1993.0,NA,NA,red,bad,bad,0,1.0,185000.0
1821,1.0,999.0,999.0,5.0,7.0,1962.0,0.0,3.0,0.0,2001.0,NA,NA,red,NA,good,1,0.0,132500.0
1129,2.0,1218.0,1218.0,7.0,5.0,2007.0,0.0,2.0,0.0,2008.0,Pave,NA,red,NA,good,0,0.0,230348.0
563,3.0,2014.0,2014.0,8.0,8.0,1980.0,2.0,2.0,0.0,1980.0,NA,dog,red,good,good,0,0.0,275000.0
440,3.0,1504.0,1531.0,9.0,5.0,2006.0,1.0,2.0,0.0,2006.0,NA,NA,red,good,amazing,0,0.0,300000.0
2294,2.0,1160.0,1676.0,5.0,6.0,1977.0,2.0,3.0,0.0,1994.0,NA,cat,red,bad,good,1,1.0,196000.0
296,2.0,1902.0,1902.0,7.0,8.0,1959.0,2.0,3.0,0.0,2002.0,NA,NA,red,bad,amazing,0,0.0,335000.0
2877,1.0,967.0,1638.0,6.0,5.0,1957.0,0.0,4.0,671.0,1957.0,NA,NA,red,NA,good,0,0.0,139000.0
171,0.0,936.0,936.0,5.0,7.0,1920.0,1.0,2.0,0.0,1950.0,Grvl,dog,red,good,bad,1,0.0,109500.0
713,2.0,677.0,1510.0,4.0,4.0,1910.0,0.0,3.0,677.0,1950.0,NA,NA,red,NA,good,0,0.0,87500.0
2551,1.0,816.0,816.0,6.0,8.0,1934.0,1.0,2.0,0.0,1950.0,NA,dog,red,okay,bad,1,0.0,129800.0
1620,2.0,1494.0,1652.0,8.0,5.0,2000.0,0.0,2.0,0.0,2000.0,NA,NA,red,NA,amazing,0,0.0,251000.0
293,1.0,1528.0,2133.0,7.0,6.0,1941.0,2.0,4.0,908.0,1985.0,NA,NA,red,bad,bad,1,1.0,257500.0
478,2.0,408.0,1419.0,8.0,5.0,2002.0,1.0,3.0,640.0,2002.0,NA,NA,red,bad,good,0,1.0,184100.0
225,2.0,1319.0,1373.0,5.0,5.0,1978.0,2.0,3.0,0.0,1978.0,NA,NA,red,bad,bad,1,0.0,160250.0
1741,3.0,1258.0,1258.0,7.0,5.0,2006.0,1.0,2.0,0.0,2007.0,NA,NA,red,good,good,0,0.0,172500.0
2735,2.0,697.0,2201.0,6.0,7.0,1966.0,1.0,4.0,626.0,1966.0,NA,cat,red,good,good,0,0.0,274970.0
2021,1.0,1100.0,2264.0,6.0,8.0,1918.0,0.0,4.0,1164.0,1995.0,NA,dog,blue,NA,bad,0,1.0,200000.0
0,2.0,1080.0,1656.0,6.0,5.0,1960.0,2.0,3.0,0.0,1960.0,NA,NA,red,good,bad,1,0.0,215000.0
1740,2.0,1246.0,1258.0,7.0,6.0,2007.0,0.0,3.0,0.0,2007.0,NA,NA,red,NA,good,0,0.0,173500.0
314,2.0,747.0,1687.0,5.0,5.0,1948.0,2.0,3.0,0.0,1950.0,NA,NA,red,bad,bad,1,0.0,160000.0
320,2.0,967.0,1908.0,8.0,5.0,2002.0,0.0,4.0,915.0,2002.0,NA,NA,red,NA,good,0,1.0,202900.0
2476,2.0,784.0,1585.0,7.0,5.0,2005.0,0.0,3.0,754.0,2005.0,NA,NA,red,NA,good,0,1.0,184900.0
2250,3.0,1441.0,1392.0,5.0,5.0,2002.0,1.0,3.0,0.0,2002.0,NA,NA,red,good,good,0,0.0,215000.0
1264,1.0,1081.0,1081.0,6.0,6.0,1960.0,0.0,3.0,0.0,1993.0,NA,NA,red,NA,bad,1,0.0,148000.0
2469,2.0,1293.0,1301.0,7.0,5.0,2006.0,1.0,2.0,0.0,2006.0,Pave,NA,red,good,good,0,0.0,187750.0
279,2.0,1029.0,1117.0,6.0,5.0,1976.0,1.0,3.0,0.0,1976.0,NA,dog,red,bad,bad,1,0.0,107000.0
2348,2.0,945.0,1857.0,7.0,5.0,1978.0,1.0,4.0,912.0,1978.0,NA,cat,red,bad,bad,0,1.0,188900.0
2870,1.0,1165.0,1336.0,5.0,5.0,1953.0,2.0,2.0,0.0,1953.0,NA,NA,red,good,bad,1,0.0,157000.0
1998,2.0,1214.0,2291.0,6.0,6.0,1910.0,1.0,4.0,1031.0,1998.0,NA,NA,red,good,bad,0,0.0,133900.0
773,2.0,456.0,1034.0,6.0,5.0,1978.0,1.0,3.0,0.0,1978.0,NA,NA,red,okay,bad,1,0.0,149900.0
458,2.0,1884.0,1884.0,9.0,5.0,2008.0,1.0,2.0,0.0,2009.0,NA,NA,red,good,amazing,0,0.0,320000.0
238,1.0,756.0,1531.0,4.0,6.0,1947.0,1.0,3.0,0.0,1979.0,NA,dog,red,bad,bad,1,0.0,127000.0
2705,2.0,1051.0,1382.0,4.0,5.0,1963.0,1.0,3.0,0.0,1979.0,NA,NA,red,bad,bad,1,1.0,148000.0
2339,2.0,1714.0,1714.0,9.0,5.0,2005.0,1.0,2.0,0.0,2005.0,NA,NA,red,good,good,0,0.0,318000.0
410,2.0,855.0,1456.0,6.0,6.0,1976.0,1.0,3.0,601.0,1976.0,NA,NA,red,bad,bad,0,1.0,148500.0
1624,2.0,1237.0,1253.0,7.0,5.0,1995.0,1.0,3.0,0.0,1996.0,NA,NA,red,bad,bad,0,0.0,176000.0
11,2.0,1168.0,1187.0,6.0,7.0,1992.0,0.0,3.0,0.0,2007.0,NA,cat,red,NA,bad,0,0.0,185000.0
2511,2.0,691.0,1452.0,7.0,5.0,1999.0,0.0,3.0,739.0,1999.0,NA,NA,red,NA,good,0,1.0,183900.0
2508,2.0,600.0,1223.0,7.0,5.0,2005.0,0.0,2.0,623.0,2005.0,Pave,NA,red,NA,good,0,1.0,149900.0
754,1.0,720.0,1930.0,6.0,5.0,1927.0,0.0,4.0,784.0,1950.0,NA,dog,red,NA,bad,0,0.0,149000.0
1501,0.0,0.0,1152.0,4.0,5.0,1955.0,0.0,2.0,0.0,1955.0,NA,NA,red,NA,bad,0,0.0,82000.0
1160,2.0,625.0,1250.0,7.0,5.0,2006.0,0.0,2.0,625.0,2007.0,Pave,NA,red,NA,good,0,1.0,171900.0
2905,2.0,1216.0,1216.0,6.0,5.0,1998.0,0.0,2.0,0.0,1998.0,NA,NA,red,NA,bad,0,0.0,164000.0
382,2.0,780.0,1868.0,5.0,7.0,1976.0,1.0,4.0,780.0,1976.0,NA,NA,red,bad,good,0,1.0,197500.0
2068,2.0,967.0,1299.0,6.0,5.0,1954.0,1.0,3.0,0.0,1995.0,NA,NA,red,bad,good,1,0.0,150000.0
2255,2.0,1501.0,1501.0,7.0,6.0,1987.0,2.0,2.0,0.0,1987.0,NA,NA,red,bad,good,0,0.0,244000.0
496,3.0,1455.0,2687.0,8.0,5.0,2000.0,2.0,4.0,1221.0,2000.0,NA,NA,red,bad,good,0,1.0,327000.0
2451,3.0,1290.0,2494.0,8.0,5.0,1994.0,1.0,4.0,1189.0,1995.0,NA,cat,red,bad,good,0,1.0,321000.0
1379,1.0,876.0,904.0,5.0,7.0,1966.0,0.0,3.0,0.0,1966.0,NA,dog,red,NA,bad,1,0.0,109900.0
1,1.0,882.0,896.0,5.0,6.0,1961.0,0.0,2.0,0.0,1961.0,NA,dog,red,NA,bad,1,0.0,105000.0
1774,3.0,1325.0,2538.0,8.0,5.0,1996.0,1.0,4.0,1203.0,1997.0,NA,NA,red,bad,good,0,1.0,330000.0
1072,2.0,1518.0,1518.0,8.0,5.0,2003.0,1.0,1.0,0.0,2004.0,NA,NA,red,good,amazing,1,1.0,274000.0
2086,1.0,1080.0,1480.0,5.0,6.0,1951.0,1.0,4.0,400.0,1994.0,NA,NA,red,good,bad,1,0.0,136500.0
630,1.0,1169.0,1144.0,5.0,7.0,1956.0,0.0,3.0,0.0,1956.0,NA,NA,red,NA,bad,1,0.0,150000.0
660,2.0,1313.0,2377.0,4.0,5.0,1915.0,1.0,3.0,0.0,1950.0,Grvl,NA,red,bad,good,0,0.0,142900.0
1815,1.0,630.0,1266.0,6.0,5.0,1980.0,2.0,2.0,636.0,1980.0,NA,dog,red,bad,bad,1,1.0,128000.0
115,2.0,1161.0,1381.0,6.0,7.0,1972.0,1.0,3.0,0.0,2006.0,NA,NA,red,bad,good,1,1.0,197500.0
427,3.0,1365.0,2690.0,9.0,5.0,2009.0,1.0,3.0,1325.0,2009.0,NA,NA,red,good,amazing,0,1.0,398800.0
2793,3.0,1753.0,1787.0,8.0,5.0,2001.0,1.0,3.0,0.0,2002.0,NA,NA,red,bad,good,0,0.0,275000.0
656,2.0,676.0,1352.0,5.0,7.0,1939.0,0.0,4.0,676.0,2006.0,NA,NA,red,NA,good,0,0.0,149000.0
1428,3.0,1401.0,1511.0,8.0,5.0,1995.0,1.0,3.0,0.0,1995.0,NA,NA,red,okay,good,0,0.0,225000.0
2633,1.0,864.0,864.0,5.0,6.0,1962.0,0.0,3.0,0.0,1962.0,NA,cow,red,NA,bad,1,0.0,105000.0
1440,2.0,1494.0,1494.0,7.0,5.0,2002.0,1.0,3.0,0.0,2002.0,NA,NA,red,bad,good,0,0.0,221000.0
1776,3.0,1542.0,1542.0,8.0,5.0,2007.0,1.0,3.0,0.0,2007.0,NA,NA,red,good,good,0,0.0,260261.0
1605,2.0,816.0,816.0,5.0,8.0,1982.0,0.0,2.0,0.0,2003.0,NA,NA,red,NA,bad,1,0.0,138000.0
372,2.0,1386.0,1411.0,7.0,5.0,1977.0,1.0,3.0,0.0,1977.0,NA,NA,red,bad,bad,0,0.0,82500.0
2641,2.0,712.0,1428.0,7.0,7.0,1900.0,0.0,4.0,580.0,1970.0,Grvl,NA,red,NA,bad,1,0.0,139900.0
528,3.0,1652.0,1662.0,7.0,5.0,2006.0,1.0,3.0,0.0,2007.0,NA,NA,red,good,amazing,0,0.0,291000.0
2628,1.0,1150.0,1150.0,5.0,6.0,1959.0,0.0,3.0,0.0,1959.0,NA,NA,blue,NA,bad,1,0.0,141000.0
586,2.0,1680.0,1724.0,6.0,5.0,1967.0,1.0,3.0,0.0,1976.0,NA,NA,red,good,bad,1,1.0,197900.0
1110,3.0,1580.0,1580.0,8.0,5.0,2007.0,0.0,3.0,0.0,2008.0,NA,NA,red,NA,good,0,0.0,235128.0
2566,2.0,1246.0,1246.0,6.0,5.0,1964.0,2.0,3.0,0.0,1964.0,NA,NA,red,good,bad,1,0.0,172000.0
1874,1.0,949.0,1107.0,5.0,6.0,1967.0,0.0,3.0,0.0,1993.0,NA,NA,red,NA,good,1,0.0,127000.0
1101,3.0,1519.0,2172.0,9.0,5.0,2000.0,1.0,4.0,639.0,2000.0,NA,NA,red,bad,amazing,0,1.0,291000.0
541,2.0,1114.0,1114.0,5.0,5.0,2003.0,0.0,3.0,0.0,2004.0,NA,NA,red,NA,good,0,0.0,153000.0
2732,2.0,967.0,1350.0,4.0,5.0,1954.0,1.0,3.0,0.0,1954.0,NA,NA,red,good,bad,1,1.0,146000.0
960,3.0,1641.0,1641.0,9.0,5.0,2008.0,0.0,3.0,0.0,2008.0,NA,NA,red,NA,amazing,0,0.0,316500.0
2416,2.0,728.0,1456.0,6.0,5.0,2006.0,0.0,3.0,728.0,2006.0,NA,NA,red,NA,bad,0,1.0,172785.0
705,1.0,768.0,1328.0,5.0,7.0,1950.0,0.0,3.0,560.0,1970.0,NA,dog,blue,NA,bad,1,1.0,129500.0
2040,2.0,720.0,1382.0,5.0,6.0,1941.0,0.0,2.0,0.0,1950.0,NA,NA,red,NA,bad,1,1.0,128500.0
69,2.0,1566.0,1566.0,8.0,5.0,2008.0,0.0,3.0,0.0,2008.0,NA,NA,red,NA,good,0,0.0,262500.0
1691,3.0,1934.0,2656.0,9.0,5.0,2007.0,1.0,3.0,713.0,2007.0,NA,NA,red,good,amazing,0,1.0,492000.0
1632,2.0,1190.0,2090.0,7.0,5.0,1984.0,1.0,3.0,900.0,1984.0,NA,NA,red,bad,good,0,0.0,207500.0
1804,3.0,1158.0,2443.0,6.0,5.0,2004.0,1.0,4.0,1285.0,2004.0,NA,NA,red,good,good,0,1.0,265000.0
2806,2.0,847.0,1948.0,7.0,5.0,2004.0,1.0,4.0,1101.0,2005.0,NA,NA,red,good,good,0,1.0,195000.0
1879,3.0,0.0,1224.0,4.0,5.0,1964.0,0.0,2.0,0.0,1964.0,NA,NA,red,NA,bad,0,0.0,103000.0
1330,1.0,1024.0,1738.0,5.0,5.0,1935.0,1.0,3.0,594.0,1950.0,NA,NA,red,good,bad,0,0.0,153000.0
1887,2.0,864.0,1187.0,5.0,5.0,1961.0,1.0,2.0,0.0,1961.0,NA,NA,red,bad,bad,1,0.0,140500.0
1197,2.0,1656.0,1656.0,5.0,5.0,1973.0,0.0,4.0,0.0,1973.0,NA,NA,red,NA,bad,0,0.0,135000.0
1753,2.0,924.0,1690.0,6.0,5.0,2000.0,1.0,3.0,742.0,2000.0,NA,NA,red,bad,bad,0,1.0,181000.0
325,2.0,1344.0,1344.0,5.0,5.0,1999.0,1.0,3.0,0.0,1999.0,NA,NA,red,good,bad,0,0.0,166500.0
16,2.0,559.0,1752.0,8.0,7.0,1988.0,0.0,4.0,672.0,2005.0,NA,NA,red,NA,bad,0,0.0,164000.0
2894,2.0,1686.0,1707.0,8.0,6.0,1981.0,1.0,2.0,0.0,1981.0,NA,NA,red,bad,bad,0,1.0,228000.0
187,2.0,912.0,1236.0,6.0,7.0,1957.0,0.0,2.0,0.0,1996.0,NA,dog,blue,NA,bad,1,0.0,149700.0
252,2.0,1222.0,1222.0,7.0,5.0,2010.0,0.0,2.0,0.0,2010.0,NA,NA,red,NA,good,0,0.0,187000.0
2372,1.0,483.0,987.0,6.0,5.0,1972.0,1.0,2.0,504.0,1972.0,NA,NA,red,bad,bad,1,1.0,94500.0
42,3.0,1822.0,1822.0,8.0,5.0,2005.0,1.0,3.0,0.0,2006.0,NA,NA,red,good,amazing,0,0.0,259000.0
905,1.0,832.0,1268.0,5.0,4.0,1938.0,2.0,3.0,436.0,1950.0,Pave,NA,red,good,bad,1,1.0,160000.0
1737,2.0,616.0,1412.0,6.0,5.0,2006.0,1.0,3.0,796.0,2007.0,NA,NA,red,good,good,0,1.0,156932.0
2830,2.0,970.0,1709.0,6.0,5.0,2004.0,0.0,3.0,739.0,2006.0,NA,NA,red,NA,good,0,0.0,130000.0
2341,3.0,1910.0,2000.0,9.0,5.0,2005.0,2.0,3.0,0.0,2005.0,NA,NA,red,good,amazing,0,1.0,470000.0
1478,3.0,1564.0,1564.0,7.0,6.0,2007.0,0.0,3.0,0.0,2007.0,NA,NA,red,NA,good,0,0.0,218836.0
2217,2.0,728.0,1355.0,5.0,5.0,1941.0,0.0,3.0,595.0,1950.0,NA,dog,red,NA,bad,0,0.0,140000.0
881,2.0,1500.0,1500.0,7.0,5.0,2004.0,0.0,3.0,0.0,2004.0,NA,NA,red,NA,good,0,0.0,190000.0
534,2.0,1141.0,1141.0,7.0,5.0,2006.0,0.0,3.0,0.0,2006.0,NA,NA,red,NA,good,1,1.0,152000.0
1651,2.0,1032.0,1032.0,6.0,6.0,1978.0,1.0,3.0,0.0,1978.0,NA,dog,red,bad,bad,0,0.0,148000.0
2474,2.0,1158.0,1158.0,6.0,5.0,2004.0,0.0,3.0,0.0,2004.0,NA,NA,red,NA,good,1,1.0,158000.0
244,2.0,741.0,1732.0,6.0,5.0,1985.0,1.0,3.0,755.0,1985.0,NA,NA,red,bad,good,0,1.0,178000.0
701,2.0,960.0,1960.0,5.0,5.0,1952.0,0.0,4.0,1000.0,1952.0,Grvl,NA,red,NA,bad,0,0.0,124500.0
