,feature01,feature02,feature04,feature05,feature06,feature07,feature08,feature09,feature10,feature10.1,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature21,feature22,feature23,target
409,2.0,440.0,804.0,804,7,1548,6,5,1976,2,red,1,bad,bad,3,1,9,1,744,1976,146000
2813,2.0,564.0,750.0,750,6,1500,6,5,2005,2,red,0,NA,good,3,1,8,1,750,2006,173900
57,2.0,400.0,384.0,774,7,1430,7,5,2000,2,red,1,bad,bad,3,1,4,1,656,2000,180000
1109,2.0,691.0,1986.0,1987,7,1987,8,5,1994,2,red,1,bad,good,2,1,8,0,0,1994,301500
2534,2.0,504.0,976.0,976,4,976,6,7,1968,1,red,1,okay,good,2,1,8,0,0,2004,157500
2615,2.0,418.0,1313.0,1773,6,1773,6,6,1961,2,red,2,bad,bad,3,1,8,0,0,1992,183000
241,2.0,572.0,1508.0,1508,5,1508,7,5,2009,1,red,2,bad,good,1,1,1,0,0,2010,308030
1557,3.0,1248.0,894.0,894,6,894,3,4,1935,1,red,0,NA,bad,2,1,8,0,0,1950,81000
2819,0.0,0.0,976.0,1012,4,1012,6,5,1975,2,red,0,NA,bad,4,0,10,0,0,1975,127500
1291,0.0,0.0,828.0,828,9,1594,4,6,1910,2,blue,0,NA,bad,3,2,6,0,658,1996,118000
406,1.0,264.0,483.0,483,5,987,6,8,1972,1,red,0,NA,good,2,1,5,1,504,2007,118000
1989,2.0,816.0,725.0,909,7,1772,8,9,1910,2,red,0,NA,good,3,1,5,1,863,1999,184900
2215,1.0,231.0,930.0,1230,7,1755,4,6,1930,2,red,1,bad,good,4,1,11,0,525,2003,188000
1485,0.0,0.0,796.0,796,4,796,5,7,1910,1,blue,0,NA,bad,2,1,5,0,0,1950,85000
1289,1.0,256.0,672.0,672,4,672,5,4,1940,1,red,0,NA,bad,2,1,8,0,0,1950,64000
456,3.0,949.0,2492.0,2492,8,2492,10,5,2004,2,red,1,amazing,amazing,2,1,2,1,0,2005,552000
1906,1.0,288.0,1078.0,1150,6,1150,5,6,1955,1,red,0,NA,bad,2,1,10,0,0,1955,144000
2458,3.0,834.0,1616.0,1616,7,1616,7,5,2005,2,red,0,NA,good,3,1,4,0,0,2005,232000
756,1.0,379.0,483.0,741,7,1427,6,7,1915,1,red,0,NA,good,3,1,2,0,686,2002,123000
1262,2.0,495.0,1312.0,1312,6,1312,7,7,1958,1,red,1,good,bad,3,1,4,1,0,2001,186000
2038,1.0,288.0,530.0,581,6,1111,5,7,1920,1,red,0,NA,okay,3,1,3,0,530,1996,101000
491,2.0,502.0,841.0,892,7,1675,6,5,1999,2,red,1,bad,bad,3,1,6,1,783,1999,181000
1409,2.0,540.0,1127.0,1236,7,2108,6,7,1935,2,red,2,bad,good,4,1,7,0,872,1986,235000
442,3.0,738.0,1462.0,1462,10,2224,9,5,2004,2,red,1,good,amazing,4,1,6,1,762,2005,350000
2787,1.0,297.0,864.0,864,5,864,5,8,1972,1,red,0,NA,bad,3,1,3,0,0,1972,119900
1247,2.0,400.0,984.0,950,5,950,5,5,1953,1,red,0,NA,bad,2,1,7,0,0,1953,130000
2058,1.0,264.0,876.0,897,5,897,5,5,1968,1,red,0,NA,bad,3,1,1,0,0,1968,115000
1437,2.0,588.0,873.0,882,7,1790,7,5,1999,2,red,0,NA,good,3,1,6,1,908,1999,193000
1357,1.0,228.0,588.0,833,7,1666,8,7,1925,1,red,1,good,good,3,1,6,0,833,1996,161000
2370,1.0,264.0,483.0,483,5,948,6,5,1972,1,red,0,NA,bad,2,1,7,1,465,1972,89000
1706,3.0,843.0,1802.0,1802,7,1802,9,5,2006,2,red,1,good,amazing,3,1,6,1,0,2006,372000
1240,2.0,441.0,1395.0,1570,5,1570,6,6,1958,1,red,1,bad,bad,3,1,5,0,0,1958,166800
2784,1.0,300.0,971.0,971,5,971,5,6,1969,1,red,1,horrible,bad,3,1,5,1,0,1969,128500
334,1.0,312.0,1188.0,1188,6,1188,5,7,1962,1,red,0,NA,bad,3,1,4,0,0,1962,157900
904,2.0,660.0,984.0,984,6,1604,5,5,1941,2,red,0,NA,bad,3,1,7,0,620,1960,117000
1814,2.0,529.0,1575.0,1575,5,1575,6,5,1992,2,red,0,NA,good,2,1,7,0,0,1992,179200
1030,2.0,483.0,803.0,1098,8,1964,7,6,1976,2,red,1,good,bad,4,1,9,1,866,1976,205000
2376,1.0,319.0,1055.0,1055,4,1055,7,7,1976,2,red,0,NA,bad,2,1,4,0,0,1976,137500
1635,3.0,676.0,1922.0,1922,8,1922,9,5,2005,2,red,1,good,good,3,1,7,0,0,2006,377426
2788,2.0,484.0,630.0,630,5,1320,6,5,1993,2,red,0,NA,bad,3,1,6,1,690,1994,137000
2580,1.0,447.0,1070.0,1236,6,1236,5,6,1957,1,red,1,okay,good,2,1,5,0,0,1996,134450
2614,1.0,308.0,816.0,816,5,816,5,7,1957,1,blue,0,NA,bad,2,1,7,0,0,1957,129900
911,2.0,576.0,1122.0,1328,7,1981,4,3,1928,2,red,2,bad,good,4,1,12,0,653,1950,135000
521,3.0,478.0,1766.0,1766,7,1766,9,5,2009,2,red,1,good,amazing,2,1,10,1,0,2009,370878
1338,1.0,240.0,739.0,874,7,1342,6,5,1939,2,red,1,good,bad,2,2,4,0,468,1950,105000
1862,2.0,650.0,1057.0,1057,7,1929,7,5,2001,2,red,1,bad,good,3,1,5,1,872,2001,226000
928,2.0,463.0,1561.0,1561,6,1561,6,6,1960,2,red,1,good,bad,3,1,5,0,0,1960,193000
585,2.0,515.0,932.0,1271,8,2640,6,7,1967,2,red,1,bad,good,5,1,5,1,1369,1997,256900
463,2.0,474.0,764.0,764,6,1626,7,5,2003,2,red,0,NA,good,2,1,7,0,862,2004,173000
2904,4.0,784.0,1288.0,1368,8,1368,7,5,1997,2,red,0,NA,bad,2,2,11,0,0,1997,215000
306,2.0,504.0,540.0,1044,4,1044,5,5,1952,1,blue,0,NA,okay,2,1,6,0,0,1952,55993
132,1.0,364.0,1156.0,1520,7,1520,6,6,1955,1,red,2,good,bad,3,1,3,0,0,1972,153000
1805,2.0,610.0,1580.0,1580,8,2466,8,5,2004,3,red,1,good,good,4,1,12,0,886,2005,340000
530,2.0,400.0,1221.0,1221,6,1221,7,5,2004,2,red,0,NA,good,2,1,10,0,0,2005,185000
2587,1.0,319.0,1005.0,1005,6,1005,5,5,1956,1,red,1,bad,bad,2,1,7,0,0,1956,133500
144,2.0,531.0,1188.0,1188,6,1188,5,5,1959,1,red,0,NA,bad,3,1,5,0,0,1959,142000
2510,2.0,440.0,756.0,768,4,1524,6,5,2000,2,red,0,NA,good,2,1,6,1,756,2000,166000
2444,3.0,768.0,1160.0,1205,7,2234,8,5,2000,2,red,1,bad,good,3,1,6,1,1029,2000,300000
727,0.0,0.0,245.0,797,5,797,3,3,1900,1,red,0,NA,bad,2,1,9,0,0,1950,44000
204,1.0,180.0,662.0,662,6,1324,6,8,1920,1,red,0,NA,bad,3,1,2,0,662,1993,122000
41,3.0,730.0,1698.0,1698,7,1698,9,5,2005,2,red,1,good,amazing,3,1,6,0,0,2005,275000
2799,2.0,610.0,930.0,950,8,1995,7,5,1995,2,red,1,bad,good,4,1,7,1,1045,1996,237000
2010,1.0,217.0,600.0,608,6,1232,6,6,1939,1,red,2,bad,bad,3,1,2,1,624,1950,128000
1196,2.0,576.0,1728.0,1728,10,1728,5,5,1965,2,red,0,NA,bad,6,2,11,0,0,1965,142600
2710,1.0,336.0,912.0,934,4,934,6,7,1964,1,red,0,NA,bad,2,1,7,0,0,1964,132000
2855,1.0,240.0,992.0,992,6,1465,5,5,1939,2,red,2,bad,bad,3,1,7,0,473,1950,131000
2182,2.0,525.0,547.0,1072,5,1072,6,5,2005,1,red,0,NA,good,2,1,5,0,0,2005,140000
4,2.0,482.0,928.0,928,6,1629,5,5,1997,2,red,1,bad,bad,3,1,3,1,701,1998,189900
726,0.0,0.0,720.0,720,4,720,4,5,1920,1,blue,0,NA,bad,2,1,11,0,0,1950,34900
952,2.0,539.0,0.0,1302,8,1734,5,5,1977,2,red,0,NA,good,4,2,8,0,432,1977,126000
2291,2.0,539.0,1029.0,1062,5,1062,6,5,1976,1,red,2,bad,bad,3,1,5,0,0,1976,146800
2153,2.0,608.0,860.0,1212,7,1992,7,5,1996,2,red,2,bad,good,3,1,6,1,780,2002,211000
2783,3.0,672.0,995.0,1282,6,1282,6,6,1978,2,red,0,NA,bad,3,1,4,0,0,1978,174000
2719,2.0,451.0,1052.0,1252,8,1920,5,5,1958,2,red,1,good,good,4,1,7,0,668,1958,172500
1727,2.0,572.0,768.0,768,7,1496,6,5,2007,3,red,0,NA,good,3,1,5,0,728,2007,181755
1394,1.0,240.0,672.0,672,4,672,5,8,1940,1,red,0,NA,bad,2,1,8,0,0,1997,108000
394,2.0,440.0,1026.0,1026,5,1026,6,8,1969,1,red,0,NA,good,3,1,7,0,0,2005,156000
1938,1.0,390.0,923.0,925,5,925,5,5,1955,1,red,2,bad,bad,3,1,3,0,0,1955,116900
2633,1.0,336.0,864.0,864,5,864,5,6,1962,1,red,0,NA,bad,3,1,2,0,0,1962,105000
254,2.0,484.0,676.0,831,6,1445,6,8,1900,2,red,0,NA,bad,3,1,3,0,614,1993,138500
2907,0.0,0.0,1140.0,1140,6,1140,5,5,2006,1,red,0,NA,bad,3,1,7,0,0,2006,84500
361,2.0,343.0,702.0,702,6,1481,6,5,1994,2,red,1,bad,bad,3,1,3,1,779,1995,174000
1888,2.0,784.0,964.0,964,5,964,5,7,1961,1,red,1,okay,bad,3,1,2,0,0,1961,137500
1497,2.0,624.0,0.0,3820,11,3820,5,7,1959,3,red,2,good,amazing,5,1,7,1,0,1996,284700
804,2.0,473.0,1079.0,1079,8,1879,7,5,1993,2,red,1,bad,good,3,1,8,1,800,1994,239900
1739,2.0,400.0,728.0,728,7,1456,7,5,2007,2,red,0,NA,good,3,1,7,1,728,2007,177594
844,2.0,666.0,1431.0,1431,6,1431,7,5,1999,2,red,0,NA,good,3,1,9,0,0,1999,192000
2062,2.0,528.0,660.0,1285,7,1285,6,5,1977,1,red,1,bad,bad,3,1,4,1,0,1977,143500
235,1.0,366.0,458.0,835,5,835,5,5,1920,1,red,0,NA,bad,2,1,5,0,0,1950,83000
614,0.0,0.0,420.0,708,5,708,4,7,1940,1,red,0,NA,okay,2,1,12,0,0,1950,82500
2545,1.0,461.0,1251.0,1251,6,1251,6,6,1964,1,red,2,good,bad,3,1,3,0,0,1964,160000
1546,0.0,0.0,796.0,796,5,796,4,4,1922,1,red,0,NA,bad,2,1,1,0,0,1950,55000
1047,2.0,460.0,855.0,855,7,1456,6,6,1975,2,red,0,NA,bad,4,1,5,1,601,1975,143000
1003,2.0,470.0,926.0,926,7,1604,6,5,1997,2,red,1,bad,bad,3,1,7,1,678,1998,181000
657,1.0,281.0,405.0,717,6,1039,4,8,1900,1,red,0,NA,bad,2,1,5,0,322,2003,114000
1372,1.0,322.0,952.0,1211,5,1211,5,5,1968,1,red,1,bad,bad,3,1,8,0,0,1968,134000
1686,3.0,818.0,1694.0,1694,7,1694,8,5,2007,2,red,0,NA,good,3,1,12,0,0,2007,318000
680,1.0,294.0,1041.0,1041,6,1041,5,6,1958,1,red,0,NA,bad,3,1,3,0,0,1958,128000
1517,1.0,240.0,720.0,1052,8,2192,5,8,1939,2,red,1,good,good,4,1,7,1,720,1997,179500
1167,2.0,495.0,1614.0,1638,5,1638,9,5,2000,2,red,1,bad,amazing,2,1,7,0,0,2000,300000
1020,2.0,550.0,2048.0,2064,7,2064,7,5,1978,2,red,2,okay,good,3,1,8,0,0,1978,235000
729,1.0,216.0,1022.0,1432,6,1432,6,6,1923,1,blue,1,good,good,3,1,9,0,0,1950,149000
2107,2.0,628.0,1208.0,1208,6,1208,7,5,2007,2,red,0,NA,good,2,1,9,0,0,2007,195400
1472,2.0,532.0,1536.0,1536,7,1536,7,5,2002,2,red,0,NA,good,3,1,12,0,0,2003,214000
2596,1.0,326.0,833.0,833,4,833,5,7,1954,1,red,0,NA,good,2,1,8,0,0,2000,117000
1254,1.0,390.0,0.0,869,3,869,4,6,1948,1,red,0,NA,bad,1,1,8,0,0,1950,89900
1201,2.0,484.0,800.0,800,7,1632,6,8,1966,1,red,0,NA,good,4,1,7,1,832,2000,173000
2803,2.0,420.0,848.0,848,3,848,6,5,2004,1,red,1,good,good,1,1,5,0,0,2004,155900
1018,2.0,576.0,1422.0,1422,7,1422,6,6,1981,2,red,1,bad,good,3,1,6,0,0,1981,175500
2514,1.0,434.0,569.0,854,6,1694,7,5,1997,2,red,1,bad,good,3,1,11,1,840,1998,200000
1944,1.0,371.0,1216.0,1216,7,1728,5,6,1953,1,red,1,good,bad,3,1,6,0,0,2004,156000
640,2.0,498.0,1297.0,1297,5,1297,5,6,1954,1,red,1,bad,bad,3,1,10,0,0,1990,153000
738,1.0,180.0,884.0,904,4,904,6,7,1926,1,red,0,NA,bad,2,1,1,0,0,2004,119000
526,2.0,438.0,1092.0,1112,7,1550,7,5,2006,2,red,0,NA,good,2,1,10,0,438,2007,241000
286,1.0,216.0,806.0,841,6,1647,6,4,1915,1,green,0,NA,okay,4,1,5,1,806,1950,128000
2780,3.0,843.0,1541.0,1541,6,1541,7,5,2001,2,red,1,bad,good,3,1,1,0,0,2002,205000
2928,2.0,418.0,1389.0,1389,6,1389,5,5,1974,1,red,1,bad,bad,2,1,4,0,0,1975,170000
2248,2.0,470.0,888.0,912,5,912,6,6,1978,1,red,1,bad,bad,2,1,6,0,0,1978,156000
789,1.0,340.0,1073.0,1073,5,1073,5,5,1956,1,blue,0,NA,bad,2,1,2,0,0,1956,121500
1442,2.0,626.0,928.0,928,6,1823,7,5,2000,2,red,0,NA,good,3,1,5,1,895,2001,235000
2092,2.0,576.0,1502.0,1553,8,2730,7,5,1986,2,red,1,bad,good,4,1,8,1,1177,1987,301000
1279,1.0,350.0,825.0,825,4,825,5,7,1954,1,blue,0,NA,bad,2,1,7,0,0,1954,109500
2305,2.0,452.0,1178.0,1293,5,1293,6,5,1954,2,red,0,NA,bad,2,1,5,0,0,1954,149900
2890,3.0,766.0,1907.0,1959,9,1959,7,5,1988,3,red,0,NA,bad,5,2,7,0,0,1989,171000
1102,3.0,938.0,1982.0,2006,5,2006,8,5,1998,2,red,1,bad,good,2,1,7,0,0,1998,350000
2701,1.0,288.0,1062.0,1352,6,1352,5,4,1958,1,green,0,NA,good,3,1,7,0,0,1958,130000
2007,2.0,495.0,915.0,1167,6,1167,5,5,1920,1,red,1,good,bad,3,1,5,0,0,1950,144000
145,2.0,461.0,1268.0,1264,6,1264,5,5,1960,1,red,2,good,bad,3,1,4,0,0,1960,167500
2642,1.0,200.0,502.0,502,5,1004,7,8,1930,1,red,1,horrible,good,2,1,7,0,502,1950,105000
2750,3.0,848.0,1308.0,1308,7,1876,7,5,2005,2,red,0,NA,good,3,1,7,1,568,2006,229800
1450,1.0,280.0,924.0,924,5,924,5,6,1975,1,red,0,NA,bad,3,1,4,0,0,1975,110000
2030,1.0,240.0,1040.0,1226,7,1818,7,4,1931,1,green,2,bad,bad,4,1,6,1,592,1950,169500
162,1.0,305.0,1246.0,1246,6,1246,5,7,1959,1,red,0,NA,good,3,1,5,1,0,1994,154000
1931,2.0,484.0,1560.0,1560,8,1560,5,5,1958,2,red,0,NA,bad,4,2,12,0,0,1958,128600
785,1.0,303.0,1617.0,1867,7,1867,5,5,1955,1,blue,3,good,bad,2,1,11,0,0,1993,190000
1408,2.0,396.0,1163.0,1163,8,1674,6,7,1918,2,red,1,good,bad,4,1,7,0,511,1950,185000
1816,2.0,504.0,840.0,884,5,884,5,7,1983,1,red,0,NA,good,2,1,12,0,0,1983,144000
2269,3.0,692.0,1922.0,1922,6,1922,8,5,2002,2,red,1,amazing,good,2,1,4,0,0,2002,282000
363,2.0,490.0,978.0,1005,9,1983,7,5,1999,2,red,1,bad,good,3,1,5,1,978,1999,225000
1687,3.0,856.0,1694.0,1694,7,1694,8,5,2006,2,red,1,good,good,3,1,6,0,0,2007,322400
490,3.0,658.0,1177.0,1223,8,2312,7,5,1999,2,red,1,bad,good,4,1,5,1,1089,1999,245000
2578,1.0,299.0,1092.0,1092,6,1092,5,5,1957,1,blue,1,bad,bad,2,1,5,0,0,1957,141000
1801,2.0,578.0,874.0,874,7,1761,7,6,2007,3,red,0,NA,good,3,1,8,0,887,2007,227875
2746,2.0,403.0,1298.0,1298,5,1298,6,5,1985,2,red,1,bad,good,3,1,5,0,0,1985,180000
2482,2.0,472.0,636.0,636,6,1320,6,5,1994,2,red,0,NA,good,3,1,7,1,684,1994,150000
1356,1.0,360.0,1242.0,1242,8,1984,6,8,1910,2,red,0,NA,bad,5,1,9,0,742,1983,160000
383,2.0,581.0,926.0,1016,7,1884,7,5,2003,2,red,1,amazing,amazing,3,1,6,1,868,2003,240900
973,1.0,297.0,462.0,526,5,988,4,5,1973,1,red,0,NA,bad,2,1,11,0,462,1973,91000
2821,1.0,360.0,1176.0,1176,5,1176,5,4,1969,1,red,0,NA,bad,2,1,12,0,0,1969,119900
2015,1.0,230.0,966.0,1014,6,1426,5,7,1930,1,red,1,good,bad,3,1,7,0,412,1992,131750
1530,2.0,599.0,784.0,819,7,1603,6,3,1923,1,red,1,good,bad,4,1,6,0,784,1950,138000
767,1.0,226.0,585.0,687,6,1112,5,3,1934,2,blue,0,NA,bad,4,1,3,0,425,1950,63000
39,3.0,868.0,1544.0,1544,7,1544,8,5,2009,2,red,0,NA,good,3,1,6,0,0,2010,290941
927,1.0,234.0,704.0,860,7,1564,7,7,1941,1,red,1,good,okay,3,1,7,1,704,1950,174500
1070,3.0,1052.0,1702.0,1702,7,1702,9,5,2008,1,red,1,good,amazing,1,1,10,1,0,2008,367294
2394,3.0,784.0,1524.0,1544,10,2358,8,5,2005,2,red,1,good,amazing,4,1,8,1,814,2006,329900
2820,0.0,0.0,945.0,980,4,980,6,5,1975,2,red,0,NA,bad,4,0,10,0,0,1975,127500
1794,2.0,575.0,1335.0,1335,6,1335,7,5,2006,2,red,0,NA,good,3,1,6,0,0,2007,210400
2130,2.0,517.0,845.0,845,7,1690,7,5,2001,2,red,0,NA,good,3,1,2,1,845,2001,190550
1226,1.0,377.0,992.0,1661,8,1661,6,6,1955,1,red,1,bad,good,3,1,10,0,0,1996,165500
2845,0.0,0.0,686.0,948,10,1928,5,8,1916,2,red,0,NA,bad,5,2,7,0,980,1995,160000
1213,2.0,520.0,1248.0,1350,6,1350,6,5,1964,1,red,0,NA,bad,3,1,6,1,0,1964,168500
59,3.0,779.0,1393.0,1422,10,2599,9,5,1999,2,red,1,bad,good,4,1,5,1,1177,1999,333168
2470,0.0,0.0,1142.0,1142,5,1142,6,5,2005,1,red,0,NA,good,3,1,1,1,0,2005,139500
1256,1.0,288.0,913.0,1048,6,1558,5,6,1945,1,blue,1,bad,bad,3,1,4,1,510,1950,140000
418,1.0,288.0,892.0,892,5,892,5,5,1967,1,red,0,NA,bad,3,1,7,0,0,1967,100000
774,2.0,576.0,858.0,858,5,858,5,5,1982,1,red,0,NA,bad,2,1,4,0,0,1982,134900
2801,2.0,484.0,1860.0,1836,8,1836,7,5,2004,2,red,1,good,good,3,1,10,0,0,2005,216837
1306,3.0,870.0,1470.0,1675,10,3493,7,9,1880,3,red,1,amazing,good,3,1,5,0,1818,2002,295000
2328,2.0,564.0,1742.0,1742,5,1742,8,5,1985,2,red,1,bad,good,2,1,12,0,0,1985,275000
2241,1.0,256.0,0.0,640,4,845,2,4,1939,1,red,0,NA,bad,1,1,3,0,0,1950,68104
1413,1.0,384.0,861.0,961,7,1367,5,8,1900,1,red,0,NA,bad,4,1,4,0,406,1950,119000
1426,3.0,874.0,1751.0,1766,8,1766,9,5,2008,2,red,2,good,amazing,3,1,12,1,0,2008,395039
1164,2.0,540.0,689.0,703,5,1392,7,5,2007,2,red,0,NA,good,2,1,2,0,689,2007,146000
2320,3.0,773.0,1700.0,1700,9,2212,7,5,2005,2,red,1,good,good,3,1,5,1,512,2006,309000
1410,1.0,322.0,1509.0,1509,6,1509,5,6,1956,1,blue,1,bad,good,3,1,7,0,0,1956,159900
2568,2.0,487.0,924.0,1216,8,2157,7,6,1966,2,red,2,good,good,4,1,5,1,941,1966,226000
2409,2.0,478.0,1405.0,1405,6,1405,7,5,2003,2,red,1,good,good,2,1,3,0,0,2003,171750
444,3.0,880.0,3206.0,1629,7,1629,8,5,2003,2,red,1,good,good,3,1,10,0,0,2004,284000
481,2.0,393.0,698.0,698,7,1342,7,5,2003,2,red,1,bad,good,3,1,5,1,644,2003,178000
2388,3.0,670.0,1090.0,1117,10,2206,9,5,2005,2,red,1,good,amazing,4,1,8,1,1089,2006,300000
2730,1.0,450.0,430.0,880,7,1700,7,5,1980,2,red,0,NA,good,2,1,4,1,680,1981,148400
2463,3.0,1053.0,1095.0,1095,8,1939,8,5,2006,2,red,1,good,good,3,1,8,1,844,2006,266000
722,1.0,280.0,1022.0,1022,4,1022,5,4,1910,1,red,0,NA,bad,2,1,6,0,0,2006,85000
1360,1.0,308.0,768.0,768,7,1536,6,6,1952,1,blue,0,NA,bad,4,1,5,1,768,1952,136000
860,1.0,396.0,768.0,768,5,768,5,8,1972,1,red,0,NA,bad,2,1,4,0,0,2003,133900
2104,2.0,508.0,1274.0,1274,6,1274,7,5,2005,2,red,0,NA,good,3,1,1,0,0,2007,203000
1769,3.0,834.0,1379.0,1383,8,2398,7,5,1996,2,red,1,bad,good,3,1,8,1,1015,1997,315750
6,2.0,582.0,1338.0,1338,6,1338,8,5,2001,2,red,0,NA,good,2,1,4,0,0,2001,213500
1283,1.0,308.0,192.0,1133,7,1133,6,5,2008,1,red,0,NA,bad,3,1,12,0,0,2008,143000
2732,2.0,504.0,967.0,1350,6,1350,4,5,1954,1,red,1,good,bad,3,1,6,1,0,1954,146000
1013,2.0,495.0,1632.0,1474,7,1474,6,2,1952,1,blue,2,good,bad,3,1,5,0,0,1952,115000
2600,2.0,720.0,1120.0,1130,5,1130,5,6,1920,1,red,1,good,bad,2,1,6,0,0,1950,120000
125,0.0,0.0,1728.0,1728,10,1728,5,6,1962,2,red,0,NA,bad,6,2,1,0,0,2001,84900
2673,2.0,420.0,1004.0,1004,7,1664,6,7,1947,2,red,2,good,bad,3,1,10,0,660,1950,159000
1204,1.0,267.0,0.0,1014,6,1014,5,5,1956,1,red,0,NA,bad,2,1,3,0,0,1956,98000
2823,0.0,0.0,914.0,914,4,914,6,5,2002,1,red,0,NA,good,2,1,4,0,0,2002,117250
713,2.0,720.0,677.0,833,7,1510,4,4,1910,2,red,0,NA,good,3,1,6,0,677,1950,87500
1365,0.0,0.0,319.0,1035,6,1406,6,7,1920,1,blue,0,NA,okay,3,1,3,0,371,1950,89500
1678,2.0,440.0,630.0,630,6,1302,5,5,1970,2,red,0,NA,bad,3,1,4,1,672,1970,106000
395,2.0,477.0,1180.0,1180,6,1180,5,5,1970,1,red,0,NA,bad,2,1,3,1,0,1970,128000
